objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
demo_001,demo_001.jpg,,,"Administration Building, University of Idaho, No. 30",Pacific Photo Co.,1910,"Example locally hosted image item. Photographic postcard of the University of Idaho administration building in Moscow, Idaho.",universities; buildings; campuses; picture postcards,"Moscow, Idaho",46.725562,-117.009633,"PG 9, Postcard Collection, Special Collections and Archives, University of Idaho Library",pg_9_12_01bl,Image;StillImage,image/jpeg,eng,Public Domain,https://creativecommons.org/publicdomain/mark/1.0/
kitty001,Catlizzard.jpg,,,Cat playing with lizard,Basile Morin,2018,Domestic cat playing with an oriental garden lizard,cat; lizard; play;,"Hua Det, Loas",13.985448,105.915617,https://commons.wikimedia.org/wiki/File:Cat_playing_with_a_lizard.jpg#metadata,,Image;StillImage,image/jpeg,eng,Public Domain,
kitty002,caramel.jpg,,,Caramel,Kylah Erikson,2023,Family pet by the name of Caramel.,cat; Caramel; pet;,"Michigan, USA",,,iPhone,,Image;StillImage,image/jpeg,eng,,
kitty003,catingrass.jpg,,,Playing in Grass,Caleb Ranweiler,2023,Family pet playing in the grass.,cat; pet; grass;,"Minnesota, USA",,,iPhone,,Image;StillImage,image/jpeg,eng,,
kitty004,catinlap.jpg,,,Cat laying in lap,Caleb Ranweiler,2023,Family pet resting in someone's lap.,cat; pet; rest;,"Minnesota, USA",,,iPhone,,Image;StillImage,image/jpeg,eng,,
kitty005,catonledge.jpg,,,Cat hanging on window ledge,Caleb Ranweiler,2023,Stray cat resting on the window ledge of an apartment building.,cat; stray; rest;,"IL, USA",,,iPhone,,Image;StillImage,image/jpeg,eng,,
kitty006,ethiocat.jpg,,,Stray cat in Ethiopia,Gustaf Shumlansky,2018,A stray cat in Ethiopia resting on the porch of a house.,cat; stray; rest;,"Addis Ababa, Ethiopia",,,Andriod ,,Image;StillImage,image/jpeg,eng,,
kitty007,leashcat.jpg,,,Cat on a leash,Caleb Ranweiler,2023,A stray cat on a leash resting in the doorframe of a convenience store. ,cat; rest; relaxed,"IL, USA",,,iPhone,,Image;StillImage,image/jpeg,eng,,
kitty008,miles.jpg,,,Miles,Kylah Erikson,2023,Family pet by the name of Miles,cat; pet;,"Michigan, USA",,,iPhone,,Image;StillImage,image/jpeg,eng,,
kitty009,panthself.jpg,,,A selfie from Panther,Kylah Erikson,2023,A close-up picture of Panther looking into the camera.,cat; pet; Panther,"IL, USA",,,iPhone,,Image;StillImage,image/jpeg,eng,,
kitty010,panthbed.jpg,,,Panther lounging,Kylah Erikson,2023,A picture of Panther lounging on the bed.,cat; pet; Panther; rest,"IL, USA",,,iPhone,,Image;StillImage,image/jpeg,eng,,
